epoch,phase,train_loss,val_loss,steer_mae
1,warmup,0.14627,0.31541,0.1276
2,warmup,0.06667,0.29037,0.0521
3,warmup,0.02889,0.29561,0.1516
4,warmup,0.01316,0.29982,0.1575
5,warmup,0.00753,0.26691,0.1094
6,full,0.02415,0.01581,0.0370
7,full,0.01324,0.01993,0.0827
8,full,0.00894,0.00862,0.0341
9,full,0.00694,0.04120,0.1257
10,full,0.00568,1.17634,0.8152
11,full,0.00557,0.00611,0.0306
12,full,0.00516,0.83537,0.6626
13,full,0.00434,0.00729,0.0266
14,full,0.00404,0.02477,0.0807
15,full,0.00401,0.00353,0.0246
16,full,0.00359,0.00286,0.0137
17,full,0.00323,0.00427,0.0256
18,full,0.00320,0.00229,0.0155
19,full,0.00304,0.00211,0.0134
20,full,0.00270,0.01148,0.0367
21,full,0.00268,0.00452,0.0151
22,full,0.00265,0.00314,0.0271
23,full,0.00221,0.00330,0.0190
24,full,0.00240,0.00143,0.0150
25,full,0.00219,0.00144,0.0112
26,full,0.00195,0.00084,0.0093
27,full,0.00197,0.00166,0.0139
28,full,0.00186,0.00121,0.0100
29,full,0.00188,0.00082,0.0108
30,full,0.00169,0.00066,0.0089
31,full,0.00176,0.00055,0.0085
32,full,0.00180,0.00074,0.0075
33,full,0.00165,0.00068,0.0073
34,full,0.00159,0.00054,0.0074
35,full,0.00151,0.00052,0.0071
36,full,0.00159,0.00057,0.0074
37,full,0.00147,0.00053,0.0064
38,full,0.00148,0.00049,0.0066
39,full,0.00147,0.00049,0.0064
40,full,0.00149,0.00048,0.0064
